review_id,order_id,product_id,customer_id,rating,review_title,review_text,review_date,helpful_votes,verified_purchase,main_category_x,brand_x,main_category_y,brand_y
REV_000023,ORDER_102332,PROD_00520,CUST_02354,4,Score special.,Blood art although alone pattern later. Alone fine expect follow.,2025-05-07,1,True,Fashion,Lewis Llc,Fashion,Lewis Llc
REV_000025,ORDER_109290,PROD_00745,CUST_01361,3,Administration executive do store.,For economy glass memory whatever near again society. Everybody somebody back past brother. Red central former.,2024-07-10,1,True,Beauty,Nguyen-Williams,Beauty,Nguyen-Williams
REV_000026,ORDER_117421,PROD_00039,CUST_02059,3,Garden likely radio yet.,Hotel Mrs allow the girl parent sport.,2025-06-17,0,True,Home & Kitchen,Rodriguez-Fernandez,Home & Kitchen,Rodriguez-Fernandez
REV_000027,ORDER_108767,PROD_00603,CUST_01452,4,Find every everyone join leader.,Happen stand student any western clear. Require business wind hospital suggest meeting about.,2025-01-01,3,True,Electronics,Rodriguez Inc,Electronics,Rodriguez Inc
REV_000028,ORDER_111167,PROD_00908,CUST_02810,4,Agent key hold happy actually.,No review text,2024-07-03,1,True,Electronics,"Allen, Young And Skinner",Electronics,"Allen, Young And Skinner"
REV_000029,ORDER_109648,PROD_00208,CUST_00704,3,Last those heavy conference work.,Federal hope focus crime. Cover eat hard cultural. Get garden yet issue community help beat.,2025-06-24,1,False,Fashion,Moss-Fox,Fashion,Moss-Fox
REV_000030,ORDER_114070,PROD_00177,CUST_03108,5,Read many.,Station decade behind large. Travel money sound go. Successful scene new main law.,2025-11-05,6,True,Fashion,Drake Inc,Fashion,Drake Inc
REV_000032,ORDER_111530,PROD_00362,CUST_00734,4,Building look collection study.,Will away politics also. Upon well yet to.,2024-04-28,2,True,Fashion,Jackson Ltd,Fashion,Jackson Ltd
REV_000033,ORDER_117614,PROD_00186,CUST_01851,3,Nothing necessary.,Hair big soldier from car. Understand she attorney response total.,2024-02-15,4,True,Home & Kitchen,"Green, Cooper And Hawkins",Home & Kitchen,"Green, Cooper And Hawkins"
REV_000035,ORDER_118808,PROD_00861,CUST_01935,4,Morning even class.,Senior behavior must region thus participant outside. Nothing fish artist quite. Travel school minute.,2024-02-06,2,True,Beauty,Jones-Gray,Beauty,Jones-Gray
REV_000036,ORDER_103256,PROD_00665,CUST_01555,3,Recent late reach.,Teacher effect management machine. Choose hand task suggest. Somebody story body strong much moment left.,2025-09-11,2,True,Books,Lynch-Cunningham,Books,Lynch-Cunningham
REV_000037,ORDER_112846,PROD_00265,CUST_04737,4,Age great current and say.,Language reality next rest reality though. Past sure fear.,2025-10-10,1,True,Sports,Suarez Inc,Sports,Suarez Inc
REV_000038,ORDER_103782,PROD_00004,CUST_04485,3,Score TV.,No review text,2023-12-06,3,True,Home & Kitchen,"Cox, Bowen And Brown",Home & Kitchen,"Cox, Bowen And Brown"
REV_000039,ORDER_111333,PROD_00116,CUST_01935,5,Draw wind nice majority special.,Baby necessary so. While always participant street. Possible great Republican machine.,2025-10-08,3,True,Home & Kitchen,Torres Group,Home & Kitchen,Torres Group
REV_000040,ORDER_116334,PROD_00174,CUST_04733,0,Might dark anyone if number.,Free mean subject provide own human. Partner nearly share understand.,2025-09-26,2,True,Home & Kitchen,Rosales-Monroe,Home & Kitchen,Rosales-Monroe
REV_000041,ORDER_101767,PROD_00404,CUST_03821,3,Or leg option.,Color statement stop do black necessary. Start street reality peace news. Sense only friend could manager.,2024-11-05,1,True,Books,Thompson And Sons,Books,Thompson And Sons
REV_000042,ORDER_106879,PROD_00090,CUST_00855,4,Growth shoulder live mention.,Follow size method respond. Political grow open push career expect it.,2024-04-02,2,True,Electronics,"Velez, Fitzpatrick And Ball",Electronics,"Velez, Fitzpatrick And Ball"
REV_000043,ORDER_109349,PROD_00535,CUST_04733,4,For would green anyone.,Head nor leader world. Give ground image everyone. She the role country with.,2025-08-17,5,True,Beauty,Morton-Gonzalez,Beauty,Morton-Gonzalez
REV_000044,ORDER_110057,PROD_00731,CUST_01468,4,Design level meeting less bed.,Bit successful art tonight stand. Individual red can.,2025-06-07,4,True,BOOKS,"Yu, Campbell And Ibarra",BOOKS,"Yu, Campbell And Ibarra"
REV_000045,ORDER_117530,PROD_00906,CUST_04786,4,Future fly agreement wait.,Evening mention major tree newspaper. Manage cultural interesting threat free.,2024-06-12,3,False,Books,"Fleming, Hammond And Luna",Books,"Fleming, Hammond And Luna"
REV_000046,ORDER_113852,PROD_00940,CUST_02838,4,Behind power white trade.,Sign impact matter cause. Agency TV feel Republican source one. Involve cold daughter ground plan big.,2025-06-29,4,True,Home & Kitchen,Walton Group,Home & Kitchen,Walton Group
REV_000047,ORDER_107265,PROD_00376,CUST_03503,4,Scientist state.,Political throughout low. Population heavy effort remain word stay.,2024-03-10,3,False,Electronics,Delacruz Llc,Electronics,Delacruz Llc
REV_000048,ORDER_115690,PROD_00494,CUST_03601,4,Gas home worker through lawyer.,To for reach party action our size anyone. Sport yard officer. Far situation simple wish list senior any.,2025-04-29,3,True,Sports,Ellis-Thompson,Sports,Ellis-Thompson
REV_000049,ORDER_100989,PROD_00393,CUST_01471,3,Commercial second ground design.,Energy defense mean. Industry throw single few.,2024-05-15,2,True,Home & Kitchen,Newton-Reilly,Home & Kitchen,Newton-Reilly
REV_000050,ORDER_108493,PROD_00697,CUST_01070,4,Cover fight administration world community.,Finally position foreign from effort develop benefit.,2025-05-23,4,True,Fashion,Thornton Inc,Fashion,Thornton Inc
REV_000051,ORDER_118063,PROD_00429,CUST_02800,4,Never yeah training stock.,Success plant current work inside young hot. Social compare nearly we. Floor husband spend six stage. Easy smile and risk low weight.,2025-04-17,1,False,Fashion,Scott-Calhoun,Fashion,Scott-Calhoun
REV_000052,ORDER_114270,PROD_00062,CUST_04573,4,Reach entire.,No review text,2025-11-13,3,True,Books,Parrish Ltd,Books,Parrish Ltd
REV_000053,ORDER_107519,PROD_00176,CUST_03902,3,Food writer believe.,Response safe over stage candidate project scene. Edge choose start whole control hit affect. Result since glass detail cover dog data.,2025-10-05,1,True,Sports,"Castaneda, Campbell And Arnold",Sports,"Castaneda, Campbell And Arnold"
REV_000055,ORDER_100809,PROD_00542,CUST_04037,4,Thousand relate spring.,Of much should small. Message edge build half second fly often. Wife front letter few.,2025-05-07,2,True,Beauty,Mclean-Knight,Beauty,Mclean-Knight
REV_000056,ORDER_101237,PROD_00917,CUST_04807,3,Stage concern sell ten trip.,Wonder very space per will worry. Organization age source southern show.,2025-03-26,1,True,Beauty,Herring-Dawson,Beauty,Herring-Dawson
REV_000057,ORDER_103931,PROD_00551,CUST_03794,4,Meeting building.,Idea these bed technology kitchen. Coach minute could worry force organization pressure modern. Military growth try amount positive.,2025-07-12,2,True,Electronics,Abbott Group,Electronics,Abbott Group
REV_000058,ORDER_101936,PROD_00363,CUST_00772,3,Perhaps appear house.,Senior address over.,2025-08-12,2,True,BEAUTY,"Wise, Owens And Duke",BEAUTY,"Wise, Owens And Duke"
REV_000059,ORDER_103185,PROD_00119,CUST_02599,0,May information each right.,Officer go dinner movement continue thousand. Outside computer lot life budget.,2025-08-27,3,False,Books,Williamson-Lutz,Books,Williamson-Lutz
REV_000060,ORDER_104195,PROD_00321,CUST_04135,2,Consider open charge wall.,You people check walk. Direction campaign page movement program.,2024-08-29,0,True,Home & Kitchen,Adkins-Wade,Home & Kitchen,Adkins-Wade
REV_000061,ORDER_116377,PROD_00148,CUST_02212,4,Ahead buy.,Reality specific position get draw. Life free rich court. Country not ok even class number inside.,2024-03-08,2,True,Sports,Horn-White,Sports,Horn-White
REV_000062,ORDER_111425,PROD_00347,CUST_02691,4,Participant history.,Talk although affect north and any.,2024-05-01,1,True,Fashion,Hughes-Evans,Fashion,Hughes-Evans
REV_000063,ORDER_105301,PROD_00783,CUST_01082,4,Population idea central.,Same reach six traditional how population. Provide force also. Choose eye police control reach.,2024-04-08,1,True,Sports,Buckley-White,Sports,Buckley-White
REV_000064,ORDER_102586,PROD_00156,CUST_04179,4,Leg available.,Among investment party admit if start baby. National gun site join. Some discussion along agent son either.,2025-01-07,4,True,Home & Kitchen,Roberts-Anderson,Home & Kitchen,Roberts-Anderson
REV_000065,ORDER_104722,PROD_00117,CUST_03376,4,Particular stand hour build election.,Try example down yard story. Major off next accept.,2025-05-10,0,True,Electronics,Morgan Plc,Electronics,Morgan Plc
REV_000066,ORDER_106867,PROD_00827,CUST_03183,4,Politics sort soldier.,Food sell relate leave ask price. Guy attack mind live stop use air.,2024-06-19,2,False,Home & Kitchen,"Macias, Roberts And Vasquez",Home & Kitchen,"Macias, Roberts And Vasquez"
REV_000067,ORDER_109904,PROD_00938,CUST_01242,3,Song difference.,Or wall big mean weight standard involve. Discover sell among other.,2024-08-18,2,True,Electronics,"Riley, Cox And Alexander",Electronics,"Riley, Cox And Alexander"
REV_000068,ORDER_104683,PROD_00130,CUST_01133,5,After main lot laugh.,Participant continue relate talk. Question eat friend similar statement whose above beautiful. Worker score during news audience. Trade decide you through.,2024-11-22,3,False,Sports,Gonzales-Thomas,Sports,Gonzales-Thomas
REV_000069,ORDER_119221,PROD_00139,CUST_00951,4,Congress whether.,Cover maybe work range. View ago ahead over once and.,2024-12-05,2,True,Beauty,"Anthony, Curtis And Howard",Beauty,"Anthony, Curtis And Howard"
REV_000071,ORDER_103987,PROD_00086,CUST_01573,4,Never stock never ago Mrs.,Order question price attack. Republican cell phone card enter. Cup civil west increase vote everyone citizen.,2024-09-20,2,True,Sports,"Allen, Quinn And Hall",Sports,"Allen, Quinn And Hall"
REV_000074,ORDER_118194,PROD_00558,CUST_01620,4,Along scene safe.,Least serious tonight set often responsibility toward. As one mention anyone computer oil. Woman pattern strong success.,2024-04-24,1,False,Home & Kitchen,"Clarke, Dominguez And Smith",Home & Kitchen,"Clarke, Dominguez And Smith"
REV_000075,ORDER_101534,PROD_00879,CUST_01274,4,Suffer manager type or.,Let law force. Television body guess stage. Many today tough unit color onto eat.,2024-06-12,1,True,Electronics,Rivera Ltd,Electronics,Rivera Ltd
REV_000076,ORDER_118040,PROD_00237,CUST_02005,3,Last cut fact sister.,Mean your treat experience. Away church letter scene green chance.,2025-11-03,3,True,Fashion,"Robinson, Sims And Chase",Fashion,"Robinson, Sims And Chase"
REV_000077,ORDER_115821,PROD_00820,CUST_04904,3,Care movement election.,Wall road down expert. Practice day from military argue.,2024-02-10,3,True,Fashion,Thomas-Jackson,Fashion,Thomas-Jackson
REV_000078,ORDER_112444,PROD_00684,CUST_00079,0,Father between life another.,Race imagine age hard. List claim part understand. Nearly there analysis stop reality international.,2025-02-01,3,True,Books,"Green, Moore And Williams",Books,"Green, Moore And Williams"
REV_000079,ORDER_113992,PROD_00761,CUST_02764,4,Apply century reveal own until.,Southern television watch we condition race. Man clearly region. Create in present myself let.,2024-01-08,3,True,Sports,Cole Group,Sports,Cole Group
REV_000080,ORDER_109983,PROD_00218,CUST_04903,3,None threat chance.,Western every office light. Follow would able.,2025-10-02,3,True,Books,"Thornton, Wagner And Burch",Books,"Thornton, Wagner And Burch"
REV_000081,ORDER_114069,PROD_00118,CUST_01425,4,Ask up support.,Degree interest something. Letter scientist east.,2024-07-11,1,True,Books,Peters And Sons,Books,Peters And Sons
REV_000082,ORDER_114990,PROD_00802,CUST_03136,3,Cultural arm friend worry down.,Ability only speak become gas order themselves well. Billion fish area guy it vote. North effort of career fund.,2024-12-23,2,False,Fashion,"Phillips, Glass And Trujillo",Fashion,"Phillips, Glass And Trujillo"
REV_000083,ORDER_101345,PROD_00228,CUST_03001,4,Per herself blood remain.,Understand attack state end whose. Cause follow PM shoulder.,2025-10-24,4,True,Home & Kitchen,Rodriguez Inc,Home & Kitchen,Rodriguez Inc
REV_000084,ORDER_100060,PROD_00238,CUST_03188,3,I control market prove.,Anyone put partner them likely natural.,2025-09-03,1,True,Books,"Adams, Henry And Velazquez",Books,"Adams, Henry And Velazquez"
REV_000085,ORDER_106617,PROD_00679,CUST_01940,4,Kind charge probably.,Off church environment. Direction too along walk answer. Dinner past key.,2024-07-31,3,True,Fashion,"Jones, Oconnor And Smith",Fashion,"Jones, Oconnor And Smith"
REV_000086,ORDER_102423,PROD_00687,CUST_01336,4,Everything defense behind there check.,Low family good history help fight. Call seem improve billion rock institution late dark. Particularly movement parent there wish tree quality.,2025-11-06,4,True,Fashion,Acosta And Sons,Fashion,Acosta And Sons
REV_000088,ORDER_100847,PROD_00813,CUST_02186,5,Summer suffer stock.,Space return sign forward research religious. Here start popular worker bring school.,2025-04-04,1,True,Home & Kitchen,Oconnor-Wilkerson,Home & Kitchen,Oconnor-Wilkerson
REV_000089,ORDER_106342,PROD_00899,CUST_00652,4,Wall suggest final.,No review text,2024-05-14,2,True,Sports,Smith-Rose,Sports,Smith-Rose
REV_000090,ORDER_118330,PROD_00641,CUST_01343,4,Spring bed.,Apply perform perhaps late establish assume teach discover. Behavior political economic bit according car. Sound figure add attorney need.,2024-05-14,1,True,Electronics,Bowman-Gillespie,Electronics,Bowman-Gillespie
REV_000091,ORDER_112345,PROD_00289,CUST_02539,4,Design soldier contain.,Recently cut research nice similar early day. Law never simple partner commercial process after. Effect election same.,2024-10-16,1,False,Home & Kitchen,Cantrell Llc,Home & Kitchen,Cantrell Llc
REV_000092,ORDER_113716,PROD_00144,CUST_01373,3,Black test way season forward.,Bit energy but. Question cell play account. Per whole seek.,2025-12-02,0,True,Sports,Newman Group,Sports,Newman Group
REV_000094,ORDER_104553,PROD_00588,CUST_00782,0,Small perform fund.,Might me near. College toward administration material. Society seat tonight run common such weight.,2024-10-28,2,False,Fashion,Perry-Hanson,Fashion,Perry-Hanson
REV_000095,ORDER_105609,PROD_00483,CUST_02073,3,Sing suddenly.,Behavior however international music.,2024-12-30,2,True,Books,Franklin Plc,Books,Franklin Plc
REV_000096,ORDER_117883,PROD_00442,CUST_02157,3,Sometimes accept close everything.,Hand plan character a place whose actually. Might usually buy environmental give happen law. Far relate partner. Share author our million school laugh finish go.,2024-11-13,1,True,Books,"Brown, White And Porter",Books,"Brown, White And Porter"
REV_000097,ORDER_103511,PROD_00275,CUST_04044,4,Resource seek.,Inside couple pay you degree any. Science son race first whether past.,2024-10-02,2,True,Electronics,"Nelson, Smith And Alvarez",Electronics,"Nelson, Smith And Alvarez"
REV_000098,ORDER_114447,PROD_00577,CUST_03862,3,Real read.,This loss order culture game. Well point economy forget area color.,2024-06-09,1,True,Fashion,Woodard-Turner,Fashion,Woodard-Turner
REV_000100,ORDER_102571,PROD_00838,CUST_01584,3,Surface politics bed brother pattern.,Page source no success ball. North itself central individual all for. Boy agreement act audience born he. Join need capital talk performance suddenly personal.,2025-02-02,2,False,Sports,Graham Group,Sports,Graham Group
REV_000101,ORDER_119018,PROD_00906,CUST_00629,4,Lose research.,Line somebody American. Recognize position reality. Work difference physical final. At head many military participant consider suggest.,2024-11-06,1,False,Books,"Fleming, Hammond And Luna",Books,"Fleming, Hammond And Luna"
REV_000102,ORDER_113006,PROD_00126,CUST_02954,4,Rock become have.,Produce cost wide four large. At finish modern check will civil picture.,2024-04-05,2,True,Home & Kitchen,Johnson-Shaw,Home & Kitchen,Johnson-Shaw
REV_000103,ORDER_110153,PROD_00853,CUST_02765,4,Back ready pay seek but.,Present budget important.,2025-04-16,3,True,Fashion,"Lawson, Hicks And Welch",Fashion,"Lawson, Hicks And Welch"
REV_000104,ORDER_106213,PROD_00791,CUST_00941,4,Individual pattern could.,Challenge worry mother life pressure physical at. Still seem product member continue first nature debate. Author however institution pull although.,2024-07-11,0,True,Sports,"Diaz, Sanders And Williams",Sports,"Diaz, Sanders And Williams"
REV_000105,ORDER_104034,PROD_00491,CUST_00738,4,Art if computer against.,Some many every might respond hear weight. Pass million dog evening talk administration. Say ball would hair city itself manage. Nation fight expect.,2024-03-11,4,True,Home & Kitchen,Gonzales-Anthony,Home & Kitchen,Gonzales-Anthony
REV_000106,ORDER_115412,PROD_00398,CUST_01486,4,Much morning a.,Measure fear usually professional. Nothing fund school like may.,2025-08-11,4,True,Electronics,Acevedo-Garcia,Electronics,Acevedo-Garcia
REV_000107,ORDER_113659,PROD_00959,CUST_00060,3,System type player from time.,Require response respond specific candidate. Medical baby center a. Find region mean process administration information any. And trip choose dark light foreign.,2025-03-04,1,True,Sports,Copeland-Orozco,Sports,Copeland-Orozco
REV_000108,ORDER_115419,PROD_00809,CUST_03573,3,Parent morning nothing.,Rather who be beyond. Wish share program box claim bed newspaper.,2024-10-22,2,True,Sports,"Vaughan, Grimes And Aguilar",Sports,"Vaughan, Grimes And Aguilar"
REV_000110,ORDER_108988,PROD_00034,CUST_00358,4,Five recent specific.,Girl area always. Kind pay test possible investment pull company.,2024-03-05,3,False,Fashion,Edwards Inc,Fashion,Edwards Inc
REV_000111,ORDER_107355,PROD_00738,CUST_03780,4,Line throw bag as.,Keep charge easy tend religious.,2025-02-19,0,True,Sports,King-Barrett,Sports,King-Barrett
REV_000112,ORDER_106605,PROD_00554,CUST_03074,4,Wrong role somebody central.,Create cultural evidence. Dinner team clear toward because suffer discover. Eat financial man season.,2023-12-12,0,True,Electronics,"Mendoza, Rogers And Blair",Electronics,"Mendoza, Rogers And Blair"
REV_000113,ORDER_108560,PROD_00054,CUST_02225,2,Nature recent voice lot.,Door water issue week already exist particular state. Push discuss model suggest. Last nothing possible attention world. Everybody land top last others game I.,2025-05-26,4,True,Electronics,"Ochoa, Hancock And Young",Electronics,"Ochoa, Hancock And Young"
REV_000115,ORDER_111292,PROD_00474,CUST_03276,4,Short skin win bad.,Side building room ahead four turn. Seat see church sense police soon. Its tree evidence rest.,2023-12-26,2,True,Home & Kitchen,Simmons Ltd,Home & Kitchen,Simmons Ltd
REV_000116,ORDER_103967,PROD_00105,CUST_03741,4,Outside finally.,Modern ten follow easy newspaper design into. We better act allow future. Yes these along science property listen church.,2025-09-09,0,True,Beauty,Alexander Group,Beauty,Alexander Group
REV_000117,ORDER_113116,PROD_00613,CUST_04250,3,Here environment detail future way.,Sit to community identify product. Respond gun yeah. Practice tend benefit.,2025-04-16,0,True,Beauty,Alexander Group,Beauty,Alexander Group
REV_000118,ORDER_117999,PROD_00040,CUST_01462,3,Man work suddenly.,Population good water. Billion maintain risk spend up line. Carry involve sit rock view president.,2024-07-14,2,True,Home & Kitchen,"Carpenter, Adams And Lowe",Home & Kitchen,"Carpenter, Adams And Lowe"
REV_000119,ORDER_106955,PROD_00246,CUST_00440,4,Huge wind notice lawyer.,Be wonder yourself now ever. Dog section player language west year open. Subject pattern protect authority.,2024-06-22,1,True,Home & Kitchen,Kelly Plc,Home & Kitchen,Kelly Plc
REV_000121,ORDER_109693,PROD_00861,CUST_01906,3,Open past area quite.,Loss whose black because base available. Follow theory available institution discuss on. Fine thus involve practice member think low include.,2024-01-19,0,True,Beauty,Jones-Gray,Beauty,Jones-Gray
REV_000122,ORDER_114057,PROD_00291,CUST_04432,4,Thousand fire exactly.,Green Mrs rock good offer expect set. Somebody trial our that.,2024-04-24,1,True,BOOKS,Cruz Llc,BOOKS,Cruz Llc
REV_000123,ORDER_100533,PROD_00755,CUST_04175,3,Major forward any moment win.,Agency happy usually network through fill past. Anything street we goal source society. Letter writer citizen they vote.,2025-07-28,1,True,Beauty,"Brown, Allison And Thornton",Beauty,"Brown, Allison And Thornton"
REV_000124,ORDER_103913,PROD_00747,CUST_00167,4,People different air should often.,No review text,2025-09-11,1,True,BEAUTY,"Camacho, Grant And Thomas",BEAUTY,"Camacho, Grant And Thomas"
REV_000125,ORDER_102454,PROD_00574,CUST_04164,4,Serious enough record draw near.,No review text,2025-08-20,2,True,Electronics,Johnson-Harris,Electronics,Johnson-Harris
REV_000126,ORDER_116816,PROD_00825,CUST_01563,4,Sometimes different leave.,Participant first town store. Operation audience example majority same bar action. Specific place community community share.,2025-11-02,5,True,Sports,"Irwin, Morrison And Torres",Sports,"Irwin, Morrison And Torres"
REV_000127,ORDER_107968,PROD_00232,CUST_04608,4,High save.,Over vote federal always name thus agreement. Democrat feeling best everything. Stand poor from figure investment modern financial.,2025-10-31,0,True,Home & Kitchen,Brown-Chambers,Home & Kitchen,Brown-Chambers
REV_000128,ORDER_109141,PROD_00354,CUST_04336,4,Stuff discover forward large.,Yeah role word majority address common. Now interesting door water those record. Need rich whole her believe laugh tend carry.,2025-08-28,4,False,Beauty,"Cherry, May And Davis",Beauty,"Cherry, May And Davis"
REV_000129,ORDER_113968,PROD_00055,CUST_01939,4,Maintain conference.,No review text,2024-09-01,1,False,Beauty,Mayer-Alexander,Beauty,Mayer-Alexander
REV_000130,ORDER_107625,PROD_00120,CUST_04833,4,Society as.,Claim life member know dog owner. Democratic moment couple north I. Against fall financial I.,2024-05-19,2,True,Beauty,"Johnson, Alvarez And Morales",Beauty,"Johnson, Alvarez And Morales"
REV_000131,ORDER_117865,PROD_00148,CUST_04697,4,Still little crime.,Than window what prepare teach hard audience. Land perhaps human unit treatment everything affect.,2024-11-20,4,True,Sports,Horn-White,Sports,Horn-White
REV_000132,ORDER_113549,PROD_00909,CUST_02265,4,Three mind money soon best.,Send event strategy lead few. Great design consumer pressure simply military. Need offer movement ball soon.,2025-06-01,2,True,Home & Kitchen,Lyons Inc,Home & Kitchen,Lyons Inc
REV_000133,ORDER_109557,PROD_00574,CUST_02130,3,Evidence change despite book participant.,Act but free state gun. Indicate industry more court. Serve professor standard traditional. Kid mouth full police everything small.,2025-03-21,3,True,Electronics,Johnson-Harris,Electronics,Johnson-Harris
REV_000134,ORDER_118533,PROD_00921,CUST_03557,4,Present describe official.,Like well opportunity guy. Practice identify feel open major reveal difference. Main avoid thing option lot check main.,2025-09-21,1,True,Electronics,Acevedo-Garcia,Electronics,Acevedo-Garcia
REV_000136,ORDER_111702,PROD_00428,CUST_03387,3,Note product only indeed really.,Brother memory thought send plan. Should will policy weight often interest cause. He step anything actually seem only far.,2024-10-20,3,True,Fashion,Huber-Simpson,Fashion,Huber-Simpson
REV_000137,ORDER_106607,PROD_00413,CUST_00915,4,Industry foot.,Bad create little peace environment. Military moment determine medical campaign. Speak day role thousand.,2025-07-22,0,True,Sports,"Miller, Adams And Frank",Sports,"Miller, Adams And Frank"
REV_000138,ORDER_105758,PROD_00517,CUST_01733,3,Will meet nation none.,Kid keep decide step. Answer great trip memory view cover total. Action season during second.,2025-07-20,0,True,SPORTS,"Johnson, Mills And Horton",SPORTS,"Johnson, Mills And Horton"
REV_000139,ORDER_118909,PROD_00511,CUST_01349,4,War me.,Relationship voice indeed building including century within. Condition impact minute risk same blood evidence reduce. By film bad town those break.,2025-05-02,1,True,Fashion,Johnson Inc,Fashion,Johnson Inc
REV_000140,ORDER_115673,PROD_00689,CUST_04342,3,It night speech response.,Consider fine system score know management friend. Various true newspaper dog many serve. Per fall important attorney protect.,2025-05-06,5,False,Home & Kitchen,Reid And Sons,Home & Kitchen,Reid And Sons
REV_000141,ORDER_112717,PROD_00835,CUST_03469,4,Off very way.,Once floor lawyer type continue nor hold gas. Military similar radio spend treatment car.,2024-08-11,3,True,Electronics,Turner-Whitehead,Electronics,Turner-Whitehead
REV_000142,ORDER_109580,PROD_00015,CUST_03699,3,Student ten score report.,Of stuff president through fund. Fund necessary pattern win reach.,2025-04-16,1,True,Beauty,Jones-Fox,Beauty,Jones-Fox
REV_000143,ORDER_119860,PROD_00045,CUST_04246,3,System skill.,For at southern culture big. Statement her about PM fall.,2025-09-24,3,True,Beauty,Mccoy Inc,Beauty,Mccoy Inc
REV_000144,ORDER_112753,PROD_00248,CUST_03738,4,Test think account full family.,Option art party other report process power time. As natural stand some easy. Ground southern series person majority day.,2024-05-01,6,True,Books,"Hunter, Jimenez And James",Books,"Hunter, Jimenez And James"
REV_000145,ORDER_111760,PROD_00396,CUST_02299,3,Pull son three debate.,Generation example likely why him. Argue his major ground week walk. Fire cell player behind computer.,2025-07-18,0,True,Sports,"Mcclain, Rodriguez And Mills",Sports,"Mcclain, Rodriguez And Mills"
