log_id,customer_id,session_id,timestamp,action,page,product_id,duration_seconds,ip_address,user_agent
17,CUST_02342,SESS_6515,2025-08-21 03:52:11.585812,remove_from_cart,cart,,77,157.104.185.142,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_6; rv:1.9.2.20) Gecko/6391-08-01 23:22:36.632965 Firefox/3.8
18,CUST_00312,SESS_6763,2025-10-27 15:22:40.941351,login,category,,17,74.93.236.59,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/7398-09-05 02:38:24.855072 Firefox/3.6.9
19,CUST_00637,SESS_5683,2026-10-25 12:06:38.530746,purchase,home,PROD_00624,1,129.108.25.175,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/9.2j4598.0 Mobile/69V645 Safari/535.0"
20,CUST_01691,SESS_8642,2025-10-18 03:41:40.912128,product_view,products,PROD_00974,17,106.171.230.56,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.0)
21,CUST_00539,SESS_9113,2025-09-23 20:42:24.181406,page_view,account,PROD_00745,85,106.69.112.157,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_0; rv:1.9.4.20) Gecko/2469-07-08 19:35:33.771711 Firefox/3.6.6
22,CUST_02941,SESS_8380,2025-08-25 08:58:15.131205,remove_from_cart,home,,9,175.214.101.46,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/27.0.881.0 Safari/531.0"
23,CUST_01078,SESS_4149,2026-09-05 11:25:55.345699,logout,account,,29,86.42.103.133,Opera/8.63.(X11; Linux i686; am-ET) Presto/2.9.170 Version/12.00
24,CUST_02298,SESS_2028,2025-10-10 04:13:46.145045,logout,checkout,,13,55.146.167.122,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/11.6c0470.0 Mobile/63A253 Safari/534.0"
25,CUST_03110,SESS_4576,2025-09-28 22:20:49.015888,purchase,checkout,,31,51.155.134.134,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/60.0.814.0 Mobile/82E238 Safari/536.1"
26,CUST_01662,SESS_1718,2025-10-11 09:37:59.269086,logout,account,PROD_00196,68,54.11.101.30,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/534.15.3 (KHTML, like Gecko) Version/4.1 Safari/534.15.3"
27,CUST_01120,SESS_5441,2025-09-13 07:16:19.778771,product_view,category,,8,188.216.180.54,"Mozilla/5.0 (iPad; CPU iPad OS 17_2 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/24.0.836.0 Mobile/17C870 Safari/534.2"
28,CUST_00336,SESS_2074,2025-10-18 07:50:21.418705,logout,home,,59,157.178.236.103,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.1)
29,CUST_02793,SESS_8564,2025-08-17 08:15:33.960405,page_view,home,,36,195.130.120.22,Opera/8.11.(Windows NT 6.2; ln-CD) Presto/2.9.166 Version/10.00
30,CUST_04351,SESS_7492,2025-10-25 02:27:17.906035,purchase,category,,5,62.59.17.204,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1)
31,CUST_03777,SESS_9686,2025-10-02 13:59:24.229430,add_to_cart,account,,21,98.251.118.49,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/533.4.2 (KHTML, like Gecko) Version/5.0.2 Safari/533.4.2"
32,CUST_03988,SESS_7162,2025-10-09 10:04:02.431519,page_view,account,,16,78.227.117.35,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/8607-10-02 11:37:23.692108 Firefox/10.0
33,CUST_02037,SESS_2915,2025-11-04 00:44:15.242198,logout,checkout,PROD_00081,24,181.106.70.108,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/4.0)
34,CUST_03002,SESS_9568,2025-10-27 18:01:55.227149,add_to_cart,home,PROD_00541,5,63.132.83.67,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/49.0.828.0 Safari/532.0"
35,CUST_03167,SESS_5016,2025-09-26 03:20:48.936208,remove_from_cart,checkout,,43,140.60.157.250,Mozilla/5.0 (Windows NT 10.0; so-ET; rv:1.9.2.20) Gecko/3814-12-19 22:23:18.954926 Firefox/3.6.10
36,CUST_01689,SESS_3800,2025-08-29 11:22:56.499231,purchase,product_detail,,6,195.140.164.46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4 rv:3.0; zu-ZA) AppleWebKit/533.7.3 (KHTML, like Gecko) Version/5.1 Safari/533.7.3"
37,CUST_04442,SESS_7416,2025-10-26 18:20:05.994678,product_view,home,PROD_00696,66,118.251.90.79,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/3.0)
38,CUST_03248,SESS_7479,2025-09-25 19:04:31.765900,purchase,category,PROD_00141,7,65.211.48.82,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/21.0.899.0 Mobile/41N281 Safari/531.0"
39,CUST_04435,SESS_7254,2025-09-14 22:18:37.205788,purchase,products,,7,1.74.72.115,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/3.1)
40,,SESS_2926,2025-09-25 11:42:27.027086,purchase,product_detail,,67,29.222.216.232,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; de-LI) AppleWebKit/532.25.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6532.25.1"
41,,SESS_5206,2025-11-11 23:22:18.662253,purchase,cart,PROD_00735,11,116.84.66.119,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/5.0)
42,CUST_01251,SESS_1701,2025-09-16 14:44:37.379055,search,cart,PROD_00112,27,87.133.140.152,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ts-ZA) AppleWebKit/533.7.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6533.7.3"
43,CUST_02532,SESS_4629,2025-10-09 19:37:42.604493,login,cart,,19,20.55.165.226,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_4 rv:3.0; sv-SE) AppleWebKit/532.17.4 (KHTML, like Gecko) Version/5.0 Safari/532.17.4"
44,CUST_01402,SESS_1765,2025-09-19 01:36:35.334020,remove_from_cart,account,,9,86.171.241.56,Opera/8.54.(X11; Linux i686; cy-GB) Presto/2.9.184 Version/11.00
45,CUST_04818,SESS_6073,2025-08-24 09:47:27.424044,search,product_detail,PROD_00025,25,25.80.108.210,Opera/8.85.(Windows NT 5.1; quz-PE) Presto/2.9.173 Version/10.00
46,CUST_00079,SESS_1478,2025-10-20 20:35:50.471918,login,home,,62,146.6.82.1,Mozilla/5.0 (Android 12; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0
47,CUST_04183,SESS_1086,2025-08-24 12:50:28.451363,product_view,category,PROD_00970,-1,191.152.92.198,Opera/9.92.(Windows NT 11.0; nhn-MX) Presto/2.9.170 Version/11.00
48,CUST_01735,SESS_8844,2026-09-18 02:29:12.695403,remove_from_cart,cart,PROD_00896,94,67.177.195.245,Mozilla/5.0 (Android 2.2.3; Mobile; rv:55.0) Gecko/55.0 Firefox/55.0
49,CUST_03285,SESS_9262,2025-08-29 02:29:12.640710,product_view,cart,,16,38.145.13.51,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.0)
50,CUST_03527,SESS_2815,2025-09-08 23:29:09.201374,search,home,,14,190.78.173.248,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/3.1)
51,,SESS_5641,2025-10-21 23:59:54.283839,search,cart,PROD_00221,10,206.34.47.241,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/5.0)
52,CUST_00060,SESS_8039,2025-09-09 01:29:02.367033,page_view,product_detail,,2,49.128.255.63,Opera/9.86.(Windows NT 5.01; ka-GE) Presto/2.9.179 Version/10.00
53,CUST_00015,SESS_2192,2025-08-19 09:02:17.696864,remove_from_cart,cart,PROD_00748,9,171.79.65.180,Mozilla/5.0 (Windows 95; de-DE; rv:1.9.0.20) Gecko/3878-11-07 06:03:58.496292 Firefox/3.6.8
54,CUST_03487,SESS_3847,2025-11-11 23:34:50.226117,purchase,category,PROD_00192,104,4.81.4.85,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; el-GR) AppleWebKit/532.30.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6532.30.1"
55,CUST_00555,SESS_1809,2025-09-06 17:20:46.510284,login,home,PROD_00590,67,181.19.44.197,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/5.1)
56,CUST_02409,SESS_8309,2025-08-20 22:41:06.609412,purchase,product_detail,,21,114.184.192.249,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.1)
57,CUST_01190,SESS_8286,2025-10-27 16:44:27.672668,search,checkout,PROD_00828,8,8.133.200.241,Opera/9.53.(X11; Linux i686; my-MM) Presto/2.9.160 Version/11.00
58,CUST_03532,SESS_2252,2025-09-06 01:37:23.440223,page_view,category,,19,199.233.173.118,"Mozilla/5.0 (iPad; CPU iPad OS 14_8_1 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/16.7e4152.0 Mobile/29Z356 Safari/532.0"
59,CUST_03180,SESS_2274,2025-11-04 16:15:16.039926,search,home,,1,109.224.79.227,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/37.0.823.0 Safari/533.0"
60,CUST_04303,SESS_7259,2025-08-14 22:15:19.330112,search,products,PROD_00307,35,142.182.179.156,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_7 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/9.8e1203.0 Mobile/29U875 Safari/532.0"
61,CUST_01328,SESS_1092,2025-09-11 15:07:15.591776,remove_from_cart,product_detail,PROD_00550,24,190.211.216.240,Mozilla/5.0 (Android 12; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0
62,CUST_00591,SESS_7340,2025-11-12 09:41:44.332281,logout,account,PROD_00068,20,46.24.66.253,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_9; rv:1.9.3.20) Gecko/5076-09-29 07:18:23.022064 Firefox/3.8
63,CUST_04505,SESS_4687,2026-11-05 04:23:34.057480,login,account,,1,222.209.121.153,Mozilla/5.0 (Windows NT 6.2; an-ES; rv:1.9.1.20) Gecko/2459-09-15 03:45:36.855675 Firefox/11.0
64,CUST_03877,SESS_1418,2025-10-16 18:33:56.367225,search,category,PROD_00282,12,151.133.177.247,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.1)
65,CUST_00681,SESS_4531,2025-09-13 19:50:01.609291,search,checkout,,24,87.26.21.197,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/3.1)
66,CUST_02285,SESS_2726,2025-08-28 02:04:26.271161,remove_from_cart,category,PROD_00996,23,107.216.30.154,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/532.8.3 (KHTML, like Gecko) Version/5.0 Safari/532.8.3"
67,CUST_02084,SESS_4891,2025-08-31 14:42:07.111642,remove_from_cart,account,,7,20.48.175.139,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_7 rv:3.0; ne-NP) AppleWebKit/532.13.4 (KHTML, like Gecko) Version/5.0.3 Safari/532.13.4"
68,CUST_01627,SESS_7178,2025-10-23 14:47:16.021173,product_view,category,PROD_00736,14,176.45.6.24,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.0)
69,,SESS_7484,2025-10-30 21:03:11.937369,purchase,product_detail,,5,200.172.96.47,Mozilla/5.0 (Windows NT 11.0; ml-IN; rv:1.9.1.20) Gecko/5119-12-09 19:32:31.204575 Firefox/8.0
70,CUST_00321,SESS_2668,2025-10-26 22:51:02.182517,remove_from_cart,product_detail,,87,125.40.72.222,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/4466-06-02 00:54:11.942581 Firefox/3.6.3
71,CUST_00073,SESS_6594,2025-08-21 20:15:53.834070,product_view,product_detail,PROD_00511,19,193.94.129.164,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1)
72,CUST_02894,SESS_8908,2026-08-28 01:03:28.179106,purchase,home,PROD_00534,35,65.18.185.100,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; bhb-IN) AppleWebKit/533.47.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6533.47.4"
73,CUST_01501,SESS_9167,2025-10-23 13:37:48.564232,page_view,cart,,8,183.128.19.244,Opera/8.12.(Windows NT 6.2; sr-ME) Presto/2.9.188 Version/12.00
74,CUST_02107,SESS_2411,2025-09-08 15:04:51.898432,product_view,cart,,43,118.27.135.248,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2132-12-08 03:07:26.542959 Firefox/3.8
75,CUST_03038,SESS_7683,2025-09-09 06:02:22.469143,page_view,product_detail,PROD_00132,55,79.215.90.72,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/4.0)
76,CUST_04349,SESS_1585,2025-08-29 21:21:53.533764,product_view,account,PROD_00134,12,13.73.206.238,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/5.1)
77,,SESS_4641,2025-10-02 12:23:48.670571,search,category,,35,184.209.221.34,Opera/9.26.(Windows CE; bg-BG) Presto/2.9.170 Version/10.00
78,CUST_00065,SESS_1006,2025-09-14 02:54:31.395538,search,cart,PROD_00130,177,3.220.150.81,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; hne-IN) AppleWebKit/531.11.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6531.11.5"
79,CUST_02384,SESS_6263,2025-10-18 05:00:37.343021,add_to_cart,home,,21,101.55.232.20,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; shs-CA) AppleWebKit/532.22.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.22.6"
80,CUST_02825,SESS_6028,2025-09-15 03:51:32.611550,product_view,products,PROD_00315,17,170.191.82.191,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/4.1)
81,,SESS_5085,2025-09-08 07:27:54.861829,product_view,category,,9,159.151.96.34,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/5.1)
82,CUST_02017,SESS_2671,2025-10-03 07:39:26.263597,search,products,PROD_00713,13,222.131.44.59,Mozilla/5.0 (Windows NT 5.0; sw-KE; rv:1.9.2.20) Gecko/5385-09-22 03:27:59.902939 Firefox/3.8
83,,SESS_9161,2025-10-18 12:32:57.240919,remove_from_cart,cart,PROD_00863,25,84.224.134.4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/38.0.841.0 Safari/532.0"
84,CUST_04658,SESS_6156,2025-09-03 20:26:50.944320,logout,category,,52,32.169.53.101,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/24.0.858.0 Safari/534.1"
85,CUST_01047,SESS_1632,2025-10-06 00:24:01.869669,product_view,category,,15,187.1.72.11,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/533.38.6 (KHTML, like Gecko) Version/5.0 Safari/533.38.6"
86,CUST_03592,SESS_7355,2025-09-28 17:43:23.454956,remove_from_cart,checkout,PROD_00122,23,111.54.28.115,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/11.9j8164.0 Mobile/81O810 Safari/535.1"
87,,SESS_1367,2025-09-05 12:55:52.010489,add_to_cart,category,PROD_00397,16,95.176.194.50,"Mozilla/5.0 (Linux; Android 4.4) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/30.0.877.0 Safari/534.1"
88,CUST_02602,SESS_3721,2025-10-01 01:43:00.160049,purchase,checkout,,12,159.63.84.173,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/5.0)
89,CUST_02406,SESS_2352,2025-09-26 23:33:31.766427,product_view,product_detail,,37,206.107.10.44,Opera/9.26.(Windows NT 5.0; hi-IN) Presto/2.9.166 Version/10.00
90,CUST_04081,SESS_9807,2025-10-11 17:53:21.521712,purchase,product_detail,PROD_00312,39,29.54.6.18,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_8 rv:3.0; fi-FI) AppleWebKit/535.39.3 (KHTML, like Gecko) Version/5.0 Safari/535.39.3"
91,CUST_03921,SESS_5172,2025-09-09 10:25:30.210626,remove_from_cart,product_detail,PROD_00528,65,168.223.34.246,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/4.1)
92,CUST_03201,SESS_2457,2025-09-29 21:17:09.143603,page_view,product_detail,,28,6.242.23.55,Opera/9.69.(Windows 95; nr-ZA) Presto/2.9.180 Version/10.00
93,CUST_03616,SESS_8934,2025-11-06 17:28:32.094831,purchase,cart,,33,176.247.128.161,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/18.0m7493.0 Mobile/82O121 Safari/532.2"
94,CUST_00437,SESS_7301,2025-08-16 08:06:46.049277,logout,cart,,20,27.221.130.235,Opera/9.13.(Windows NT 6.2; mn-MN) Presto/2.9.187 Version/11.00
95,CUST_03977,SESS_7183,2025-09-17 13:28:09.257415,add_to_cart,products,,9,212.61.54.225,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.4.3 (KHTML, like Gecko) Version/4.1 Safari/532.4.3"
96,CUST_04371,SESS_6021,2025-09-28 16:26:25.308308,logout,category,PROD_00074,30,161.111.39.251,Opera/9.43.(X11; Linux x86_64; cv-RU) Presto/2.9.165 Version/11.00
97,CUST_02606,SESS_4593,2025-10-31 23:56:23.707207,logout,category,,40,184.92.120.241,Mozilla/5.0 (Windows NT 5.2; ug-CN; rv:1.9.0.20) Gecko/5784-01-11 03:07:38.437881 Firefox/3.6.4
98,CUST_00724,SESS_7718,2025-10-29 07:38:45.981202,product_view,category,PROD_00719,22,9.36.41.140,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/3649-07-27 15:30:25.602371 Firefox/3.8
99,CUST_03905,SESS_1561,2025-09-23 07:08:16.618702,purchase,products,,17,190.50.224.158,Opera/8.28.(X11; Linux x86_64; en-CA) Presto/2.9.185 Version/12.00
100,CUST_02363,SESS_1104,2025-09-03 23:44:09.088740,search,products,,59,40.37.133.252,Opera/9.75.(Windows NT 5.2; bo-IN) Presto/2.9.160 Version/12.00
101,CUST_00932,SESS_4519,2025-08-27 19:18:55.525349,remove_from_cart,category,,67,12.205.175.103,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_2 rv:2.0; th-TH) AppleWebKit/532.37.5 (KHTML, like Gecko) Version/4.1 Safari/532.37.5"
102,CUST_01273,SESS_4369,2025-08-20 09:05:19.420180,product_view,home,,1,25.15.241.53,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/4.1)
103,CUST_04780,SESS_3861,2025-10-16 16:20:41.735595,product_view,product_detail,,72,125.171.70.34,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/535.48.1 (KHTML, like Gecko) Version/5.0 Safari/535.48.1"
104,CUST_00142,SESS_6466,2025-08-22 03:15:26.014324,search,category,PROD_00911,62,43.249.153.62,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/5.0)
105,CUST_01965,SESS_1197,2025-08-15 18:08:59.011304,search,products,,37,114.105.11.83,Opera/9.88.(Windows NT 6.0; sw-KE) Presto/2.9.182 Version/11.00
106,CUST_00463,SESS_6676,2026-09-16 10:21:58.992718,logout,products,PROD_00869,9,154.221.253.122,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_9; rv:1.9.2.20) Gecko/4182-12-26 10:30:10.575806 Firefox/3.8
107,CUST_03738,SESS_1724,2025-10-08 01:41:43.224825,search,products,PROD_00327,143,187.234.12.84,Mozilla/5.0 (Android 4.4.4; Mobile; rv:44.0) Gecko/44.0 Firefox/44.0
108,CUST_01300,SESS_6184,2025-09-16 09:52:51.877152,remove_from_cart,account,PROD_00287,40,123.247.103.66,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.48.3 (KHTML, like Gecko) Version/4.0 Safari/532.48.3"
109,,SESS_8931,2025-09-19 23:37:01.390465,remove_from_cart,cart,,32,193.108.44.94,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_9) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/61.0.873.0 Safari/532.2"
110,CUST_01754,SESS_8202,2025-09-23 13:39:58.513031,page_view,cart,,5,132.64.198.66,"Mozilla/5.0 (Linux; Android 2.3.3) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/57.0.834.0 Safari/533.1"
111,CUST_02502,SESS_2797,2025-08-22 08:37:46.496748,product_view,cart,,4,144.233.155.178,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_3) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/47.0.867.0 Safari/535.2"
112,CUST_03567,SESS_1112,2025-08-25 11:04:53.939125,product_view,products,PROD_00951,1,114.56.20.205,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/4.1)
113,CUST_03900,SESS_3010,2025-09-05 23:02:25.869601,remove_from_cart,home,PROD_00849,46,154.208.59.8,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.22.7 (KHTML, like Gecko) Version/4.0.2 Safari/531.22.7"
114,,SESS_1796,2025-08-19 14:51:57.074855,login,products,PROD_00792,20,23.170.84.192,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.1)
115,CUST_01072,SESS_3377,2025-10-04 02:13:48.546291,purchase,cart,PROD_00116,37,7.73.215.192,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; eu-FR) AppleWebKit/535.24.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6535.24.4"
116,CUST_04916,SESS_6028,2025-08-30 14:33:37.642066,remove_from_cart,cart,PROD_00102,-1,132.250.196.30,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_4 rv:3.0; dz-BT) AppleWebKit/534.43.2 (KHTML, like Gecko) Version/5.0.1 Safari/534.43.2"
117,CUST_04264,SESS_6607,2025-09-26 21:52:10.423312,add_to_cart,product_detail,,1,80.88.66.240,Opera/8.44.(Windows CE; se-NO) Presto/2.9.178 Version/11.00
118,CUST_03079,SESS_4890,2025-11-12 00:35:57.912131,logout,product_detail,PROD_00112,47,21.92.15.182,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.0)
119,CUST_03649,SESS_8257,2025-09-10 09:28:11.800980,purchase,products,,10,101.89.171.251,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/12.0z1037.0 Mobile/72L374 Safari/531.1"
120,CUST_03945,SESS_6094,2025-10-05 20:29:05.733972,logout,category,,1,204.246.132.220,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/5.0)
