product_id,product_name,main_category,subcategory,brand,cost_price,selling_price,profit_margin,weight_kg,dimensions,stock_quantity,supplier,rating,description,is_active
PROD_00033,Devolved bi-directional model,SPORTS,Fitness Equipment,Dunn-Goodman,69.32,158.75,89.43,8.07,37x6x18,27,"Davila, Morris and Brewer",3.0,"Compare open want. Foot law recently culture peace. Shake fact drop.
Pull news agreement key. Clearly late eat sea hot between.
Style travel paper relate blue. Not product speak allow brother.",True
PROD_00034,Mandatory analyzing policy,Fashion,Accessories,Edwards Inc,173.37,299.09,125.72,9.2,21x33x24,33,"Mahoney, Turner and Bailey",4.0,Behind perform fly must line parent commercial. Her popular kitchen computer follow.,False
PROD_00035,Quality-focused empowering customer loyalty,Fashion,Watches,Cisneros Group,127.41,299.03,171.62,6.51,13x36x44,77,"Bauer, Davis and Jones",3.5,"Determine detail head imagine nothing. Far education strategy protect leader.
Paper pass woman talk citizen. According before total per relate daughter ask. Operation board six.",True
PROD_00036,Upgradable eco-centric algorithm,Beauty,Makeup,"Mack, Estrada and Cuevas",210.98,444.18,233.2,8.76,46x33x24,74,"Moore, Hill and Clark",3.9,"Present campaign he someone fine forget serve goal. Brother standard study fly executive become. Region gun note stay science no effort cover.
Expert attention go media.",True
PROD_00037,Virtual mission-critical knowledgebase,FASHION,Clothing,"Johnson, Myers and Lopez",27.41,49.25,21.84,1.41,16x10x16,45,Jones PLC,4.0,"Place special appear land. Relate course again administration capital exactly interview.
Early Congress author your everything job. High son dream.",False
PROD_00038,Ergonomic next generation attitude,Beauty,Hair Care,Martinez-Waters,110.8,238.52,127.72,4.05,36x23x46,39,"Carrillo, Ramirez and Terrell",3.6,"List among collection wind ahead. Brother start agree young. Near on spend western wall your.
Imagine finish successful along expect certain. Actually mouth safe tell different line.",True
PROD_00039,Fundamental system-worthy utilization,Home & Kitchen,Lighting,Rodriguez-Fernandez,64.7,126.16,61.46,5.62,23x19x35,62,Moses and Sons,4.3,"Black sit strategy. End alone fire arm own money plan.
Always save base effect hotel room fall. Paper wind toward human nation look factor. Throw important campaign anyone shake may several.",True
PROD_00040,Persistent multi-tasking complexity,Home & Kitchen,Home Decor,"Carpenter, Adams and Lowe",389.16,558.97,169.81,3.64,40x31x40,34,"Herman, Moody and Burnett",4.6,Light five dog apply yes model clearly really. From another couple point. Represent buy important chair music treat effect. Say election child collection later skin.,True
PROD_00041,Configurable heuristic initiative,Beauty,Hair Care,"Johnson, Garcia and Newton",241.65,518.15,276.5,0.37,46x48x18,71,"Scott, Weiss and Kennedy",4.3,Meeting go husband attack personal president city air. Build actually six industry standard billion nearly. Sign quality reveal expert food look.,True
PROD_00042,Re-engineered actuating website,Books,Children Books,Lee PLC,41.46,102.46,61.0,2.83,11x36x47,46,"Rivas, Davis and Robinson",4.9,"Card you name newspaper hotel coach chance. Task modern sea teach.
And organization degree against treatment. We evening community lot can bank step.",True
PROD_00043,Proactive clear-thinking leverage,Electronics,Headphones,"Lewis, Jones and Figueroa",470.97,1387.07,916.1,2.68,42x18x6,50,Hamilton-Huffman,4.8,"Believe experience hospital though throw hospital. Whatever wonder hotel increase room. Top director season color.
Determine yet administration mouth organization.",True
PROD_00044,Customizable actuating matrix,Home & Kitchen,Home Decor,White PLC,479.94,783.95,304.01,4.67,29x20x30,109,Wilson-Ayala,4.9,"Worry middle share near parent. Difficult main side consider space. Decision forward pass those firm professor.
Community level mouth. Race she among everybody individual the.",True
PROD_00045,Pre-emptive global productivity,Beauty,Hair Care,Mccoy Inc,175.89,276.52,100.63,9.59,10x15x11,31,"Carpenter, Ortiz and Miller",3.7,Speak against professional open person data order. Sea local bag seem federal north game.,False
PROD_00046,Stand-alone multi-tasking encryption,Fashion,Watches,Rodriguez PLC,294.65,866.97,572.32,0.85,5x9x46,22,Terry Group,3.1,"Different contain score move pretty development. Whose relationship worry any.
Challenge fire break understand especially power actually concern. Mission painting similar amount. On each can.",True
PROD_00047,Front-line system-worthy projection,Beauty,Hair Care,Hartman PLC,402.02,1002.76,600.74,4.77,24x16x40,14,Jones-Dalton,3.4,"Statement drop all. Idea mention hair security seven. Station do itself film.
Each station education. Into skin song technology fast suffer but.",True
PROD_00048,Programmable multi-state archive,Home & Kitchen,Lighting,"Joseph, Fitzgerald and Evans",490.09,805.04,314.95,9.55,22x14x35,83,Brooks Ltd,3.4,Partner cause bag institution. Majority body piece billion although. Past green thus concern ten politics Mr. System oil option old place.,True
PROD_00049,Robust homogeneous installation,Beauty,Skincare,Guerrero Group,299.21,697.61,398.4,-1.0,37x43x5,26,Campos Ltd,4.4,"Doctor sit those see. More six explain sign once forget. Theory newspaper start water allow.
Risk century during star decide could for tax. Bed the buy whom debate.",True
PROD_00050,Enhanced zero tolerance projection,Electronics,Laptops,Delgado and Sons,42.7,117.82,75.12,8.29,46x45x32,45,"Cook, Martinez and Perry",3.3,"Drive begin kitchen record director. Maintain space statement other. Stuff imagine ask recently.
Student network past part feel top. Exist particular large agency view once.",True
PROD_00051,Operative local open architecture,Beauty,Fragrances,Rubio Group,359.44,1002.48,643.04,5.95,9x7x20,36,Franklin Group,4.3,Series sign benefit coach light. My whom anyone while short nice me.,True
PROD_00052,Mandatory optimizing structure,Sports,Fitness Equipment,Wade Inc,100.5,211.42,110.92,8.86,21x45x42,85,Kirk Ltd,3.1,"Five citizen especially need.
One operation budget marriage agree walk.
Us area everybody must throw value. Painting behind tell determine man Congress say.",True
PROD_00053,Assimilated non-volatile function,Beauty,Skincare,,251.46,410.29,158.83,6.39,25x25x10,36,Hicks-Williams,3.6,"General will party. World when collection hot.
Suffer since good police visit. Start manage detail. Research executive turn herself.
Wear dinner stock near significant. Feeling key around situation.",True
PROD_00054,Sharable explicit workforce,Electronics,Tablets,"Ochoa, Hancock and Young",14.13,41.63,27.5,4.62,49x47x11,38,Dixon and Sons,4.5,"Soldier step art lead night discuss. Physical design bag surface available car.
Girl thus partner impact. Plant less notice weight strategy condition.",True
PROD_00055,Down-sized full-range extranet,Beauty,Hair Care,Mayer-Alexander,17.32,46.31,28.99,9.39,30x48x15,86,"Garcia, Reynolds and Best",4.1,"Level color require and provide voice. Training think break only. Second check speech drop impact.
Official able ability detail finally school. Agent keep idea organization.",True
PROD_00056,Programmable 24hour knowledge user,Home & Kitchen,Home Decor,Solis Ltd,392.66,822.62,429.96,2.14,9x5x15,51,"Liu, Garcia and Clements",4.8,"Civil treat enter like he. Trade what control voice.
Move receive situation key along play especially. Test manage whom side later.
Treat beyond card.",False
PROD_00057,De-engineered 5thgeneration analyzer,Electronics,Cameras,Murphy-Daniels,260.78,765.28,504.5,1.38,37x28x10,80,Austin-Mason,4.7,"Player enter control authority coach bit some consider. When none here. Line result about law.
Who technology join run each. Expert item former chair arm.",True
PROD_00058,Seamless heuristic analyzer,Electronics,Laptops,Suarez Group,469.16,950.5,481.34,6.78,28x24x42,0,Moran and Sons,3.6,"Bit movie possible affect ask wide. Baby company read carry their. Book never sing when relationship go chance.
Everybody sister hotel outside way. Like best heavy but seven animal.",True
PROD_00059,Multi-channeled client-driven methodology,Home & Kitchen,Lighting,Sullivan-Miller,341.12,674.26,333.14,7.67,15x36x10,52,Hopkins PLC,4.7,"Realize majority sense knowledge very bag consumer focus. Choice enough soon should six audience. Paper what green listen clearly government produce make.
Medical five trip.",True
PROD_00060,Front-line disintermediate projection,Books,Non-Fiction,Martin-Clark,372.7,613.65,240.95,3.75,46x18x23,42,Garrett Ltd,4.6,"Others interesting a election room unit choose. Study leave new explain state opportunity.
Forward share son successful media throw. Treat traditional guy traditional political American growth.",True
PROD_00061,Assimilated zero tolerance monitoring,Books,Fiction,"Estrada, Lam and Khan",452.46,945.72,493.26,7.42,45x31x39,42,Richardson-Spencer,3.7,Enough television but collection. End huge around realize network economy. Southern nation return risk two.,True
PROD_00062,Multi-channeled secondary emulation,Books,Non-Fiction,Parrish Ltd,252.95,514.64,261.69,3.93,9x33x11,89,Galloway-Graham,4.4,Simple chair some control table seven color. Mrs number home challenge speech hotel. Meeting above focus.,True
PROD_00063,Upgradable encompassing open system,Home & Kitchen,Lighting,"Casey, Scott and Medina",5.75,7.86,2.11,386.0,8x45x28,40,Ross Group,3.2,"Election white student entire. Use far goal opportunity character natural generation seek. Time itself where product.
Discussion idea little billion company. Source bad visit rate keep of affect.",True
PROD_00064,Focused context-sensitive methodology,Fashion,Shoes,Mason and Sons,479.17,1083.22,604.05,6.65,9x23x17,27,Rhodes-Turner,3.2,Choice do my home break friend. Claim another before could organization sport outside. Fish that suffer guess law himself ok.,True
PROD_00065,Compatible background parallelism,Books,Educational,Leonard-Taylor,361.56,804.57,443.01,7.27,37x17x37,46,Thomas-Gray,3.8,"Scene deal in deal act health.
Such short key whole anyone beat analysis. Budget base project majority lead she.",True
PROD_00066,Triple-buffered asymmetric utilization,Home & Kitchen,Kitchen Appliances,English LLC,436.68,678.0,241.32,4.87,6x23x31,109,"Stark, Murphy and Rogers",3.8,"Eat talk relationship spend read kid. Develop family baby then keep product. Or site her explain.
Spring star box discover. Name Democrat argue sign week.",True
PROD_00067,Adaptive mission-critical neural-net,Home & Kitchen,Lighting,"Rivera, Mills and Gill",75.52,171.44,95.92,8.3,42x29x45,53,Murphy Group,4.0,Alone even board add according minute. Commercial own carry cup. Important walk provide ok important send.,True
PROD_00068,Sharable holistic workforce,Home & Kitchen,Lighting,Lee-King,446.41,1248.38,801.97,9.18,23x20x15,58,Monroe-Hamilton,4.9,"Feel and policy stop answer we rock. Least benefit authority eight during.
Accept adult month sense meet task degree. According voice system low someone.",True
PROD_00069,Operative analyzing archive,Sports,Outdoor Gear,Johnson-Mcmillan,182.17,350.12,167.95,8.09,34x45x44,22,Clark PLC,4.0,"Nation someone rock. Century story phone quality when mention. See top simply people.
Travel begin yet.",True
PROD_00070,Polarized fault-tolerant budgetary management,Electronics,Smartphones,Lewis LLC,448.81,1083.6,634.79,1.85,27x49x36,41,"Crawford, Smith and Perez",4.0,"They plan consumer threat.
Party easy book American. Himself today place myself. May day same. Physical I example firm sound need into create.
Just Mrs movie. Receive move economic build.",True
PROD_00071,Expanded directional encryption,HOME & KITCHEN,Lighting,"Hayes, Lane and Parks",186.11,250.01,63.9,1.98,8x48x47,98,"Spence, Chambers and Mason",3.5,"Industry remember forward practice case fast. Magazine wrong summer test star eight.
Subject nor realize determine. Several recently clearly community cold guess stop.",True
PROD_00072,Business-focused systemic Graphic Interface,Fashion,Watches,Wolf Group,165.9,0.0,318.62,8.48,13x10x30,-50,"Garcia, Johnson and Hale",3.7,"Just professor soon spend wife record. Religious above hold.
Reach lot best let. Industry build set any fly decide decade page. Accept hour outside indicate laugh.",True
PROD_00073,Re-engineered client-driven toolset,Electronics,Laptops,Hernandez-Harper,131.99,231.89,99.9,5.67,22x43x12,38,"Byrd, Gonzalez and Woods",3.2,Require cost exactly card population subject serve property. Science reflect card authority baby sit. Service maybe contain dog grow beat.,True
PROD_00074,Organic next generation productivity,Sports,Fitness Equipment,"Stokes, Foster and Mitchell",394.64,1004.65,610.01,3.65,10x31x19,52,"Cox, Vance and Henry",4.5,Both point small community rather would difference. Born early laugh rich discussion. Become back describe finally discussion involve. Whose bring look design one movement draw generation.,True
PROD_00075,Persevering mobile info-mediaries,Beauty,Fragrances,"Young, Taylor and Harris",17.09,30.23,13.14,4.1,43x47x29,45,Harrison Group,3.1,"Better collection indeed. Evening blood woman ever win add inside. Environmental letter social.
Up crime line have. Week research board wind affect.",True
PROD_00076,Cross-group full-range secured line,Sports,Fitness Equipment,,34.08,79.39,45.31,9.82,41x42x34,30,"Yates, Long and Wilson",4.8,"Lay conference cut partner. None station artist yourself.
Cut talk everyone enjoy join. Visit always decide size.
Hit difference individual onto whom official college.",True
PROD_00077,Polarized systemic groupware,Beauty,Fragrances,Scott Group,330.94,418.05,87.11,5.6,46x6x10,30,Wolf Ltd,5.0,Resource argue either charge address just huge. Edge someone once system create assume recent. Worker among the guy worker vote black.,True
PROD_00078,Organized zero-defect database,Sports,Team Sports,Gonzalez-Snyder,94.01,163.29,69.28,0.14,18x33x32,60,Marsh-Thornton,3.1,"Serious source all task for. Fill pattern actually base because prevent.
Everybody easy positive real official street. Which nature choice office music. Again difficult difference.",True
PROD_00079,Customizable executive secured line,Books,Fiction,,462.39,1209.14,746.75,4.48,30x49x12,52,Cooke Ltd,4.4,"Street seem start history town true. Knowledge certain office majority. Face big send agency.
Center quickly professional some whom position care name. Friend ago year relationship however laugh.",True
PROD_00080,Cloned executive service-desk,BOOKS,Non-Fiction,Holt and Sons,358.42,480.05,121.63,0.66,45x6x20,54,Moore PLC,4.5,Because safe phone phone audience large argue finish. Process feeling structure blue plant time.,True
PROD_00081,De-engineered clear-thinking alliance,Electronics,Tablets,Austin Ltd,289.44,466.36,176.92,9.65,18x6x37,62,"Sparks, Ford and Douglas",4.8,"Young executive push final. Stay statement close movement. Health blood evidence thought house.
Suggest section else pattern itself both matter. Relationship poor head international.",True
PROD_00082,Virtual next generation infrastructure,Electronics,Cameras,Pham Ltd,360.45,586.91,226.46,7.05,30x14x23,63,Hodges and Sons,5.0,"People news before PM seem. Method ready air. Technology evening upon truth if lose wall cultural.
Add itself land enough. All scientist trouble population.",True
PROD_00083,Public-key static utilization,Electronics,Laptops,"Yang, Parsons and Carter",346.69,645.29,298.6,-1.0,46x41x31,54,"Anderson, Fernandez and Lambert",4.4,Middle author likely nation manager real. Should themselves arm far name serious throw. Challenge game about. Ready really forget ground some most wall.,True
PROD_00084,Progressive modular database,Sports,Outdoor Gear,Miller LLC,299.8,896.03,596.23,9.87,7x32x15,75,"Cruz, Martin and Thomas",4.6,"Adult wait attack whatever. Describe resource agency produce without smile meeting.
Chance civil property wait. Whole science participant account wish. Worker thus expect assume herself store.",True
PROD_00085,Organized exuding contingency,Fashion,Watches,Harrison and Sons,87.68,253.32,165.64,7.94,37x19x24,7,Brooks-Hodges,3.2,"Remain protect window cover attention. Cost before recent water area note. Hospital clearly option indeed prove seven.
Professional several husband single.",True
PROD_00086,Synergistic mission-critical Graphical User Interface,Sports,Fitness Equipment,"Allen, Quinn and Hall",226.24,348.6,122.36,0.36,39x7x45,97,Clark-James,3.4,"Hear thank able. Where employee her film debate.
News reach during. Whatever near happen citizen page against good.
Free PM four painting.",True
PROD_00087,Focused systematic function,Fashion,Watches,King and Sons,403.66,693.79,290.13,8.74,9x6x34,76,"Burgess, Barajas and Ramirez",4.0,"A kind college small nice. Realize subject style rise world. Major throughout writer upon some.
Car bag phone rich mention necessary play. Down still drug require personal.",True
PROD_00088,Team-oriented mission-critical open architecture,Electronics,Smartphones,"Walton, Hooper and Rice",356.98,579.96,222.98,9.66,37x17x26,54,Novak-Wagner,3.8,Until opportunity human go economy those. Recognize person inside phone memory better pick.,True
PROD_00089,Triple-buffered non-volatile leverage,Home & Kitchen,Furniture,"Trujillo, Hill and Sanchez",243.29,350.27,106.98,9.77,43x46x45,33,"Alvarado, Hall and Jones",3.5,Account knowledge investment figure quality exist member. Factor production box citizen still everybody white. Ago job relationship PM reason.,True
PROD_00090,Customizable human-resource encryption,Electronics,Laptops,"Velez, Fitzpatrick and Ball",288.2,373.6,85.4,8.52,33x24x17,51,"Ruiz, Jones and Fuller",3.0,"Least administration billion range group. These career project window require worker mean. Sit help data guy.
General stuff theory my. Officer skin quality keep decision southern or.",True
PROD_00091,Cloned global array,Books,Educational,,190.89,333.11,142.22,2.95,16x47x43,3,"Williams, Hall and Nash",3.3,Hope people wife Democrat individual. Meet begin table produce my. Single spend movie once.,True
PROD_00092,Fundamental encompassing adapter,Beauty,Makeup,"Butler, Carlson and Roach",499.29,1371.8,872.51,5.09,18x8x12,59,Glover-Gonzales,3.8,"Sometimes tough her loss listen education. Threat notice age. You peace offer.
Figure unit stuff growth head. Short past to born man Mrs.
Wind but prove always mouth. Scene half cause know.",True
PROD_00093,Customer-focused next generation archive,Home & Kitchen,Kitchen Appliances,"Waters, Vargas and Benton",410.24,760.82,350.58,6.04,8x17x18,38,Randolph-Pearson,4.2,Interest force deep skill politics team final. Professor performance very establish perform safe interview. Weight affect perhaps if.,True
PROD_00094,Re-contextualized actuating complexity,Beauty,Skincare,Sherman Inc,70.22,199.91,129.69,8.67,14x34x38,65,Bentley-Yang,4.5,"Real both include face investment.
Most pattern past. System group down improve note trade risk fight.
Clearly still soldier anything. Top statement decide despite.",True
PROD_00095,Enterprise-wide regional toolset,Fashion,Clothing,"Mccoy, Mcintyre and Fuentes",371.78,777.4,405.62,3.2,29x45x32,79,Brown-Goodman,4.0,Product song organization thank care. If parent lose inside set yes federal article. Total save defense animal.,True
PROD_00096,User-friendly dynamic moderator,Fashion,Watches,"Barker, Neal and Davis",215.88,463.83,247.95,7.67,25x37x49,39,Ewing-Snyder,3.2,"Market must require wish. So represent child same tell.
Great according sometimes natural body personal. Couple still value city.",True
PROD_00097,Future-proofed zero administration definition,Home & Kitchen,Lighting,Roth-Trujillo,364.7,575.02,210.32,1.79,11x45x22,8,Vasquez Ltd,3.4,Improve machine responsibility not nature well through. West else success traditional here change level.,True
PROD_00098,Profound systemic definition,Home & Kitchen,Furniture,Carter and Sons,107.08,210.83,103.75,6.01,8x22x39,33,"Price, Reyes and Martin",4.2,"Morning lay public. Fear far garden we green second article.
Model run front scientist right just build though. Boy wish morning everything over picture culture. For five safe memory why have.",True
PROD_00099,Re-engineered dedicated archive,Books,Children Books,"Mills, Lopez and Morris",204.23,364.58,160.35,6.59,46x6x45,103,Adkins LLC,4.2,Debate such more anyone. Property according daughter nothing watch put entire. Second large character theory property half able.,False
PROD_00100,Progressive scalable productivity,Books,Fiction,"Henry, Diaz and Thompson",290.32,0.0,334.84,8.87,42x21x32,33,Saunders LLC,4.6,"Say threat room son by. First him white build cut pay.
Former reveal player enough.
Fund image some exist. Night citizen social soldier social where finally.",True
PROD_00101,Advanced full-range projection,Home & Kitchen,Home Decor,,7.69,14.1,6.41,0.16,11x43x31,100,Newton-Williams,4.9,World everyone suddenly certain world. Find pick area manager process knowledge step. Finally face surface compare will its act.,True
PROD_00102,Cloned 24/7 Graphic Interface,Books,Educational,"Burns, Schmidt and Miller",245.11,630.73,385.62,9.03,45x38x5,18,Reid Group,3.6,"Guess throw support serve attention. Power team sure military card arm.
Modern decision street person trip religious produce.",True
PROD_00103,Front-line cohesive contingency,Sports,Team Sports,Ortiz-Phillips,455.67,674.76,219.09,8.8,10x45x30,52,"Harris, Schmidt and Robinson",4.7,"Eye hotel available offer sing boy. Fund between rule something thing she.
Four speak goal form head international modern. Cold pull big machine. Into could direction out carry.",True
PROD_00104,Phased bandwidth-monitored solution,Electronics,Cameras,Chapman-Stevens,289.21,438.81,149.6,8.53,12x24x13,35,Mendez-Brady,4.2,"Night shake again rise risk only. Low lot point like significant Republican into.
Recently point have candidate eye able. Degree game time fast nice floor. Believe still table likely.",True
PROD_00105,Public-key cohesive attitude,Beauty,Hair Care,,66.14,90.82,24.68,1.23,30x44x27,55,"Harris, King and Liu",4.7,"Large and need a. Culture seek wife say whole. Meeting assume lay as tonight.
Either gun staff maybe. Way international instead west partner make without director.",False
PROD_00106,Re-engineered bottom-line model,Fashion,Shoes,Washington and Sons,440.95,551.71,110.76,3.14,6x23x28,48,Zuniga PLC,3.7,"Positive leg year. Mouth yet probably section including against because. Even air image level.
Effort final deal accept traditional either that professor.",False
